"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 01 17:53:32 CST 2021","Sun Aug 01 17:53:32 CST 2021","108","testcase","工商信息","21个接口","","","878历史工商信息",""
"passed","Sun Aug 01 17:53:31 CST 2021","Sun Aug 01 17:53:31 CST 2021","190","testcase","工商信息","21个接口","","","876历史对外投资",""
"passed","Sun Aug 01 17:53:28 CST 2021","Sun Aug 01 17:53:28 CST 2021","193","testcase","工商信息","21个接口","","","817企业基本信息：name入参",""
"passed","Sun Aug 01 17:53:32 CST 2021","Sun Aug 01 17:53:32 CST 2021","487","testcase","工商信息","21个接口","","","825企业年报",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","119","testcase","工商信息","21个接口","","","820主要人员",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","132","testcase","工商信息","21个接口","","","877历史股东信息",""
"passed","Sun Aug 01 17:53:28 CST 2021","Sun Aug 01 17:53:28 CST 2021","164","testcase","工商信息","21个接口","","","817企业基本信息：keyword入参",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:31 CST 2021","151","testcase","工商信息","21个接口","","","998公司公示股权变更",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","66","testcase","工商信息","21个接口","","","1047企业类型",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","108","testcase","工商信息","21个接口","","","997公司公示股东出资",""
"passed","Sun Aug 01 17:53:29 CST 2021","Sun Aug 01 17:53:29 CST 2021","170","testcase","工商信息","21个接口","","","818企业基本信息（含企业联系方式）",""
"passed","Sun Aug 01 17:53:31 CST 2021","Sun Aug 01 17:53:31 CST 2021","203","testcase","工商信息","21个接口","","","824分支机构",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","113","testcase","工商信息","21个接口","","","821企业股东",""
"passed","Sun Aug 01 17:53:28 CST 2021","Sun Aug 01 17:53:28 CST 2021","147","testcase","工商信息","21个接口","","","817企业基本信息：id入参",""
"passed","Sun Aug 01 17:53:31 CST 2021","Sun Aug 01 17:53:32 CST 2021","149","testcase","工商信息","21个接口","","","963总公司",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","151","testcase","工商信息","21个接口","","","1050历史主要人员",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","59","testcase","工商信息","21个接口","","","1045工商快照",""
"passed","Sun Aug 01 17:53:28 CST 2021","Sun Aug 01 17:53:29 CST 2021","463","testcase","工商信息","21个接口","","","1120司法拍卖",""
"passed","Sun Aug 01 17:53:32 CST 2021","Sun Aug 01 17:53:32 CST 2021","73","testcase","工商信息","21个接口","","","822变更记录",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","110","testcase","工商信息","21个接口","","","1046企业联系方式",""
"passed","Sun Aug 01 17:53:29 CST 2021","Sun Aug 01 17:53:29 CST 2021","299","testcase","工商信息","21个接口","","","819企业基本信息（含主要人员）",""
"passed","Sun Aug 01 17:53:31 CST 2021","Sun Aug 01 17:53:31 CST 2021","397","testcase","工商信息","21个接口","","","823对外投资",""
"passed","Sun Aug 01 17:53:30 CST 2021","Sun Aug 01 17:53:30 CST 2021","63","testcase","工商信息","21个接口","","","1042企业三要素验证",""
"passed","Sun Aug 01 17:53:29 CST 2021","Sun Aug 01 17:53:30 CST 2021","280","testcase","工商信息","21个接口","","","459特殊企业基本信息",""
